SPECIALIZED_OCCUPATION,SALARY
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,110155.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,92962.0
Data Analyst,107645.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,170000.0
Data Analyst,110155.0
Data Analyst,118560.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Business Intelligence Analyst,115024.0
Data Analyst,115024.0
Data Analyst,140756.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,156038.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,84678.0
Data Analyst,161200.0
Data Analyst,115024.0
Business Intelligence Analyst,110000.0
Data Analyst,115024.0
Financial Data Analyst,97284.0
Data Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,161200.0
Data Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,161840.0
Data Analyst,115024.0
Data Analyst,64480.0
Business Intelligence Analyst,146325.0
Data Analyst,103573.0
Business Analyst (General),115024.0
Business Analyst (General),104000.0
Financial Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,139360.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,60923.0
Business Analyst (General),115024.0
Financial Data Analyst,115024.0
Data Analyst,122500.0
Financial Data Analyst,61360.0
Data Analyst,71000.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,52987.0
Data Analyst,115024.0
Data Analyst,119240.0
Data Analyst,55120.0
Data Analyst,115024.0
Data Analyst,140000.0
Data Analyst,72800.0
Data Analyst,74750.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Business Intelligence Analyst,115024.0
Data Analyst,67600.0
Data Analyst,115024.0
Business Intelligence Analyst,104000.0
Business Analyst (General),115024.0
Business Intelligence Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Intelligence Analyst,115024.0
Business Intelligence Analyst,84647.0
Data Analyst,101798.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,207300.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,66200.0
Business Analyst (General),115024.0
Data Analyst,135200.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Intelligence Analyst,70000.0
Data Analyst,171600.0
Data Analyst,69500.0
Business Intelligence Analyst,115024.0
Business Analyst (General),47840.0
Business Analyst (General),115024.0
Data Analyst,83200.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Analyst (General),102900.0
Business Intelligence Analyst,78000.0
Data Analyst,115024.0
Financial Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,70880.0
Business Analyst (General),80000.0
Data Analyst,145600.0
Data Analyst,115024.0
Data Analyst,119600.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,98700.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Intelligence Analyst,115024.0
Business Intelligence Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,83200.0
Data Analyst,67898.0
Data Analyst,69680.0
Data Analyst,115024.0
Financial Data Analyst,87300.0
Data Analyst,69680.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,69680.0
Data Analyst,170500.0
Data Analyst,59000.0
Business Intelligence Analyst,109200.0
Business Intelligence Analyst,124265.0
Data Analyst,133000.0
Financial Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,101000.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Analyst (General),115024.0
Data Analyst,115024.0
Data Analyst,105000.0
Data Analyst,175000.0
Data Analyst,115024.0
Data Analyst,115024.0
Financial Data Analyst,115024.0
Data Analyst,105000.0
Business Analyst (General),115024.0
Data Analyst,130500.0
Business Analyst (General),104480.0
Data Analyst,175000.0
Data Analyst,141960.0
Data Analyst,115024.0
Business Intelligence Analyst,102500.0
Data Analyst,115024.0
Financial Data Analyst,56099.0
Data Analyst,115024.0
Data Analyst,115024.0
Financial Data Analyst,115024.0
Data Analyst,68576.0
Data Analyst,93346.0
Data Analyst,175000.0
Data Analyst,84969.0
Business Analyst (General),86117.0
Data Analyst,130500.0
Data Analyst,156000.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,98050.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Intelligence Analyst,99975.0
Data Analyst,115024.0
Financial Data Analyst,38480.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,75000.0
Data Analyst,115024.0
Data Analyst,65449.0
Business Intelligence Analyst,115024.0
Data Analyst,115024.0
Data Analyst,115024.0
Data Analyst,72800.0
Financial Data Analyst,62400.0
Data Analyst,115024.0
Data Analyst,115024.0
Business Intelligence Analyst,115024.0
Business Intelligence Analyst,115024.0
