Feature,Estimate,Std Error,t-stat,P-Value
MIN_YEARS_EXPERIENCE_NUM,5511.5055,105.1778,52.4018,0.0000
Python_Programming_Language,13085.6510,747.7071,17.5010,0.0000
SQL_Programming_Language,4365.8736,705.5750,6.1877,0.0000
Microsoft_Excel,-14697.8907,675.5787,-21.7560,0.0000
Data_Analysis,-6231.0437,763.6684,-8.1594,0.0000
Machine_Learning,9371.0880,1073.2254,8.7317,0.0000
Power_BI,-5536.3367,734.9341,-7.5331,0.0000
Tableau_Business_Intelligence_Software,-1243.1372,717.3156,-1.7330,0.0831
Communication,3608.0609,608.9892,5.9247,0.0000
encoded_category_0,1145.9949,2015.4453,0.5686,0.5696
encoded_category_1,4971.8649,2072.7977,2.3986,0.0165
encoded_category_2,7309.5460,2441.0121,2.9945,0.0028
encoded_category_3,27110.1916,1929.2309,14.0523,0.0000
encoded_category_4,27892.8970,2096.4740,13.3047,0.0000
encoded_category_5,25033.8420,2048.7630,12.2190,0.0000
intercept,58868.8125,2674.3861,22.0121,0.0000
