SPECIALIZED_OCCUPATION,Demand_Count,Average_Salary
Data Analyst,27832,110030.894150618
General ERP Analyst / Consultant,9931,120520.94290605176
Enterprise Architect,8212,134186.56977593765
Oracle Consultant / Analyst,8141,125036.5297874954
SAP Analyst / Admin,7734,115338.79751745539
Business Analyst (General),4326,109665.22884882108
Business Intelligence Analyst,3639,111988.08793624621
Financial Data Analyst,1155,96132.07099567099
Data Quality Analyst,1070,108033.65233644859
Healthcare Analyst,261,107311.66666666667
Marketing Analyst,153,107642.95424836602
