Skill,Demand_Count,Average_Salary
SQL (Programming Language),37655,113403.17365555702
Data Analysis,26250,110431.68163809524
Communication,26124,117425.59803246058
Python (Programming Language),22140,116386.29810298103
Dashboard,21607,111969.71129726477
Microsoft Excel,18425,108565.24141112619
SAP Applications,18318,122781.04017905885
Leadership,15968,124435.03813877756
Management,14198,116795.92886322018
Project Management,13350,119650.45056179776
"
  Power BI",13315,109714.18092377018
Business Process,13070,121248.6416220352
Business Requirements,12900,122912.80480620154
Operations,12537,116698.15625747787
Microsoft PowerPoint,12090,114262.605872622
Finance,12074,118219.84470763625
"Tableau (Business Intelligence Software)
",11987,109546.83390339534
Tableau (Business Intelligence Software),11499,111454.22132359336
"Problem Solving
",11410,114418.98168273445
"R (Programming Language)
",11289,110989.30401275578
Business Intelligence,10113,114391.56135666963
"
  Management",9688,118684.09124690338
"Computer Science
",9679,119199.99039156937
Planning,9239,121460.14590323628
Microsoft Office,8943,110456.38622386224
Agile Methodology,8685,127273.24835924007
Data Management,8511,114198.32992597815
Microsoft Azure,8398,126472.65313169803
Detail Oriented,8365,109797.07878063359
Amazon Web Services,8281,128042.1781185847
Statistics,8068,110507.45277640059
Presentations,7812,118565.7549923195
Decision Making,7758,118435.14694508894
Writing,7707,115394.79823537044
Data Modeling,7673,121240.42186889092
Data Quality,7608,116719.65023659306
Computer Science,7585,117892.97099538564
Power BI,7510,110123.58229027962
Data Visualization,7122,110515.0095478798
Problem Solving,6929,116520.0607591283
Interpersonal Communications,6735,116650.97000742391
"
  Research",6694,111058.70346579025
Data Science,6603,114868.5005300621
SAS (Software),6508,107660.24692685925
Data Warehousing,6485,119661.32413261372
Analytical Skills,6433,111851.87362039484
Automation,6430,119827.69704510109
Troubleshooting (Problem Solving),6411,115167.95039775386
Workflow Management,6135,117093.83064384678
Application Programming Interface (API),6047,124783.50008268563
Governance,5976,128382.09638554217
Innovation,5963,122769.30622170049
Consulting,5872,128910.68051771117
Information Systems,5845,119764.25047048759
"Microsoft Excel
",5703,106200.16868314923
Extract Transform Load (ETL),5657,121462.32225561251
Process Improvement,5638,114615.10695282015
Influencing Skills,5574,126671.28650879081
Java (Programming Language),4989,123285.99518941672
Data Governance,4900,117661.45897959184
Enterprise Architecture,4840,135021.89111570248
Microsoft Access,4798,110171.39516465194
Accounting,4729,116032.60943116937
"
  Information Technology",4671,117450.71547848427
Verbal Communication Skills,4668,114608.47086546701
Critical Thinking,4592,116263.83754355401
Mathematics,4504,114143.87611012433
"SQL (Programming Language)
",4486,110965.73584485064
"Microsoft Office
",4484,113181.79661016949
"
  Customer Service",4448,108562.22099820143
Supply Chain,4431,122924.0115098172
Microsoft Outlook,4417,107603.78582748472
Key Performance Indicators (KPIs),4398,113453.47658026376
JIRA,4352,114853.0838694853
Self-Motivation,4330,114649.11385681294
Sales,4253,122628.15706560075
Microsoft Visio,4222,124625.46494552345
Scalability,4219,129674.51813225883
Marketing,4200,114571.83976190476
Organizational Skills,4197,106291.28186800095
"
  Salesforce",4158,118738.80832130832
Economics,4090,110684.44865525673
Coordinating,4089,116081.04108584006
Auditing,4081,112509.04312668464
Enterprise Resource Planning,4066,123728.33767830791
Mentorship,4031,128422.04936740264
Continuous Improvement Process,4017,121801.81279561862
Time Management,3998,109924.60605302651
Machine Learning,3987,124216.72560822674
"
  Communication",3940,120583.80456852792
Information Technology,3929,118796.78849580046
"
  Relational Databases",3910,112233.73631713555
Solution Architecture,3843,135258.3710642727
Oracle Cloud,3806,129287.5162900683
SAP ERP,3707,121331.82573509577
"
  Business Objectives",3703,125055.77990818255
"Sales
",3602,124011.32315380345
Data Integrity,3598,110679.67676486938
Customer Service,3581,118201.1711812343
Business Strategies,3554,125824.04614518852
Data Collection,3549,105505.38996900535
"
  Presentations",3539,117489.20683808986
Reporting Tools,3420,112054.54502923977
"
  Oracle Cloud",3371,132796.09878374368
Alteryx,3280,109538.5243902439
"SAP Applications
",3273,124173.56248090437
Prioritization,3256,115565.00737100738
"Writing
",3207,119054.926410976
Research,3189,111640.00783944811
Systems Development Life Cycle,3163,122773.08346506482
Data Integration,3156,124537.04531051965
Data Engineering,3138,129998.35117909497
Microsoft SQL Servers,3136,112721.74521683673
Change Management,3119,119604.733889067
Ability To Meet Deadlines,3084,109798.83203631647
Data Architecture,3007,128864.84735616895
"
  Detail Oriented",2956,104276.2550744249
Data Mining,2955,111087.0758037225
"
  SAP S/4HANA",2944,135923.96637228262
Business Analysis,2934,117490.38616223585
"Consulting
",2914,129590.33459162663
Customer Relationship Management,2814,119859.25941719972
Artificial Intelligence,2794,126959.61488904797
Business Intelligence Tools,2745,111850.63679417122
Technology Solutions,2703,134104.58601553828
"Innovation
",2590,128262.04980694981
Statistical Analysis,2583,109226.13898567557
Microsoft Word,2580,119794.02093023255
Advanced Business Application Programming (ABAP),2559,119775.31809300507
Multitasking,2559,108059.10277452129
Extensible Markup Language (XML),2555,117419.91937377691
Solution Design,2544,125446.98309748428
The Open Group Architecture Framework (TOGAF),2518,131620.90309769657
Scripting,2517,120673.99284862932
Emerging Technologies,2496,130947.12700320513
Strategic Planning,2469,125147.53057918185
Functional Specification,2460,119345.29227642277
Software Development,2435,127258.7112936345
Apache Spark,2434,126562.13352506162
JavaScript (Programming Language),2431,117862.464417935
PL/SQL,2424,117952.66749174918
Billing,2424,120169.7301980198
Test Planning,2414,117927.0758077879
Spreadsheets,2409,104022.25238688252
Analytics,2402,116509.80016652789
Big Data,2402,124778.84054954204
Business Operations,2382,119233.42191435768
User Acceptance Testing (UAT),2371,114586.37789962042
Supply Chain Management,2361,126333.7157983905
Visual Basic For Applications,2356,108617.48896434635
Coaching,2351,120937.51595065929
Cyber Security,2343,124949.87537345284
Quality Assurance,2330,112751.08841201717
Forecasting,2302,115259.6090356212
Requirements Elicitation,2277,122084.23847167325
Enterprise Application Software,2270,125988.85198237885
Relational Databases,2247,111181.463729417
"
  Python (Programming Language)",2214,123189.79765130984
Ethical Standards And Conduct,2212,119367.32459312839
Oracle E-Business Suite,2185,120548.25308924486
Business Administration,2182,115393.92942254813
Technical Support,2180,111675.14220183487
Scrum (Software Development),2177,118192.20349104272
Software As A Service (SaaS),2176,127041.8671875
RESTful API,2173,125137.06028531984
Data Structures,2166,115100.74007386889
Procurement,2158,123565.1640407785
Financial Services,2157,123183.17246175243
Thought Leadership,2153,135942.89735253135
SQL Server Reporting Services,2145,109589.35897435897
Advanced Analytics,2142,117837.42343604108
"
  Microsoft PowerPoint",2125,114969.15717647059
Authorization (Computing),2117,123634.79452054795
"Troubleshooting (Problem Solving)
",2103,115241.7760342368
Data Lakes,2098,121874.76596758817
Apache Hadoop,2082,122326.8688760807
Microsoft SharePoint,2048,115233.732421875
Order Management Systems,2038,121984.01226692836
SAP Sales And Distribution,2028,129873.85404339251
English Language,2008,113648.77141434263
Data-Driven Decision Making,2000,114083.7485
Timelines,1987,118165.95822848515
Looker Analytics,1965,116209.04783715012
SQL Server Integration Services (SSIS),1948,112517.26283367556
Metadata,1943,119187.02007205352
"
  Planning",1920,122789.80208333333
Functional Requirement,1881,119655.95162147794
Business Analytics,1880,115787.04574468086
Application Development,1873,129847.81954084357
Oracle Human Capital Management (HCM),1866,138884.61468381566
Data Manipulation,1837,110808.06913445836
Root Cause Analysis,1837,111799.52422427872
DevOps,1821,129551.45140032949
Oracle Fusion Middleware,1820,117103.91428571429
ServiceNow,1817,124237.34782608696
Budgeting,1813,127884.35410921126
Informatica,1811,119029.07564881281
Business Acumen,1809,123142.33112216694
"
  Microsoft SharePoint",1791,113658.36795086543
Data Pipelines,1782,120127.00280583613
