SALARY,features
115024.0,"(15,[0,4,8,9,12],[5.0,1.0,1.0,1.0,1.0])"
115024.0,"(15,[0,9,12],[3.0,1.0,1.0])"
110155.0,"(15,[1,2,4,6,7,10,12],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])"
115024.0,"(15,[4,9,12],[1.0,1.0,1.0])"
115024.0,"(15,[0,4,8,9,12],[5.0,1.0,1.0,1.0,1.0])"
92962.0,"[2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0]"
107645.0,"(15,[0,1,4,8,12],[10.0,1.0,1.0,1.0,1.0])"
115024.0,"(15,[0,2,4,8,9,12],[2.0,1.0,1.0,1.0,1.0,1.0])"
115024.0,"(15,[4,9,12],[1.0,1.0,1.0])"
115024.0,"(15,[0,4,8,10,12],[5.0,1.0,1.0,1.0,1.0])"
170000.0,"(15,[0,1,2,4,8,9,12],[6.0,1.0,1.0,1.0,1.0,1.0,1.0])"
110155.0,"(15,[1,2,4,6,7,10,12],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])"
118560.0,"(15,[0,1,2,4,5,7,10,12],[5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])"
115024.0,"(15,[0,8,9,13],[4.0,1.0,1.0,1.0])"
115024.0,"(15,[4,9,12],[1.0,1.0,1.0])"
115024.0,"(15,[1,2,3,7,8,9,14],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])"
115024.0,"(15,[0,2,3,4,6,11,12],[2.0,1.0,1.0,1.0,1.0,1.0,1.0])"
140756.0,"[0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0]"
115024.0,"(15,[8,9,13],[1.0,1.0,1.0])"
115024.0,"(15,[0,10,12],[1.0,1.0,1.0])"
156038.0,"[2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0]"
115024.0,"(15,[0,1,2,4,9,12],[1.0,1.0,1.0,1.0,1.0,1.0])"
115024.0,"(15,[0,2,3,4,6,8,9,12],[8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])"
